epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4267,1.39781,4.87298,1.26815,0.00289,0.11955,0.00251,0.00151,1.30554,3.70007,1.14016,0.000332384,0.000332384,0.067094
2,62.4598,1.2043,4.06384,1.15115,0.01545,0.27316,0.02541,0.01266,1.66125,3.52249,1.32103,0.000659126,0.000659126,0.0340874
3,92.3258,1.18312,3.80358,1.15272,0.0356,0.48748,0.07927,0.04799,1.39438,3.1617,1.17058,0.000979269,0.000979269,0.00107424
4,121.825,1.15206,3.54758,1.14727,0.04708,0.68192,0.15852,0.09306,1.4487,2.90907,1.2138,0.0009703,0.0009703,0.0009703
5,151.008,1.12763,3.30048,1.13393,0.39754,0.44691,0.28911,0.1945,1.19219,2.61301,1.09589,0.0009604,0.0009604,0.0009604
6,179.861,1.10328,3.07026,1.13407,0.50884,0.45304,0.42221,0.20843,1.85779,2.32583,1.53037,0.0009505,0.0009505,0.0009505
7,209.005,1.11156,2.87395,1.14744,0.44345,0.62,0.57078,0.37094,1.34503,2.0372,1.18265,0.0009406,0.0009406,0.0009406
8,237.923,1.09342,2.65737,1.14625,0.54271,0.64732,0.69451,0.45182,1.30178,1.80084,1.18606,0.0009307,0.0009307,0.0009307
9,266.876,1.08285,2.48488,1.1522,0.51031,0.79681,0.78707,0.56342,1.10033,1.58412,1.0916,0.0009208,0.0009208,0.0009208
10,295.892,1.062,2.28366,1.14633,0.63244,0.78549,0.83661,0.52605,1.39608,1.40181,1.2705,0.0009109,0.0009109,0.0009109
11,324.934,1.05348,2.13154,1.14581,0.71487,0.78909,0.87083,0.54053,1.41814,1.27303,1.28587,0.000901,0.000901,0.000901
12,354.15,1.03434,1.99226,1.14025,0.72238,0.84148,0.91213,0.5975,1.29958,1.1263,1.21815,0.0008911,0.0008911,0.0008911
13,383.331,1.034,1.88604,1.13713,0.74794,0.89496,0.9304,0.64537,1.18759,1.04714,1.16624,0.0008812,0.0008812,0.0008812
14,412.317,1.0208,1.76539,1.13638,0.81876,0.90664,0.95534,0.62453,1.2981,0.91906,1.21935,0.0008713,0.0008713,0.0008713
15,441.062,1.02182,1.64587,1.14144,0.88668,0.9182,0.96182,0.65859,1.19382,0.81524,1.16981,0.0008614,0.0008614,0.0008614
16,469.885,1.00745,1.59146,1.14037,0.86321,0.92426,0.96442,0.5948,1.44643,0.83881,1.31058,0.0008515,0.0008515,0.0008515
